timestamp,strategy,pair,tf,signal,result,profit_loss
2025-11-25 23:50:34,Aggressive,AUDUSD_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Default,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Aggressive,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Conservative,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:50:38,Breakout_Focus,#INTC_otc,M15,BUY,WIN,0.92
2025-11-25 23:56:03,Default,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-25 23:56:03,Aggressive,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-25 23:56:03,Conservative,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-25 23:56:03,Breakout_Focus,EURUSD_otc,M5,BUY,LOSS,-1.0
2025-11-25 23:56:03,Default,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-25 23:56:03,Aggressive,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-25 23:56:03,Conservative,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-25 23:56:03,Breakout_Focus,GBPUSD_otc,M5,BUY,WIN,0.92
2025-11-25 23:56:05,Default,AUDCAD_otc,M5,SELL,WIN,0.92
2025-11-25 23:56:05,Breakout_Focus,AUDCAD_otc,M5,SELL,WIN,0.92
2025-11-25 23:56:07,Aggressive,#INTC_otc,M5,BUY,LOSS,-1.0
2025-11-25 23:56:12,Aggressive,USDCOP_otc,M10,SELL,WIN,0.92
2025-11-25 23:56:12,Aggressive,USDCOP_otc,M10,SELL,WIN,0.92
2025-11-25 23:56:13,Default,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Aggressive,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Conservative,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Breakout_Focus,#INTC_otc,M10,BUY,LOSS,-1.0
2025-11-25 23:56:13,Default,#INTC_otc,M10,BUY,LOSS,-1.0
