timestamp,trade_id,pair,timeframe,decision,signal_score,pattern_detected,price,ema,rsi,ema_conf,tf_signal,atr,triangle_active,reversal_candle,near_support,near_resistance,support_level,resistance_level,htf_signal,result,profit_loss,expiry_time,notes
2025-11-17 00:15:52,246086bf,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65285,,,-1,,,,,,,,,,LOSS,-1,18000,Importado de cuenta_real.xlsx
2025-11-17 00:21:31,0904665b,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65307,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 00:27:11,60c4a24a,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65357,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 00:32:50,8e9c97e4,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65353,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 00:36:38,1c90d97b,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65546,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 00:42:17,a03cb2c6,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65518,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 00:47:56,e7f06b0e,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12645,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 00:47:59,89d67b8c,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65518,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 00:53:38,ffb6a9ae,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12549,,,-1,,,,,,,,,,WIN,0.91,18000,Importado de cuenta_real.xlsx
2025-11-17 00:53:40,a39ac927,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65619,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 00:59:19,6d465afc,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12446,,,-1,,,,,,,,,,WIN,0.85,18000,Importado de cuenta_real.xlsx
2025-11-17 00:59:21,5a33d739,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65662,,,-1,,,,,,,,,,LOSS,-1,18000,Importado de cuenta_real.xlsx
2025-11-17 01:05:00,46c7ab5e,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12414,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:05:02,bf2f4d2c,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65616,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:10:41,aa4ec101,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12476,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:10:43,68a7fc16,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65728,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:10:45,c326096d,USD/MXN OTC,S300,SELL,,Importado de Excel,17.8837,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:16:24,2ad01f9a,EUR/USD OTC,S300,SELL,,Importado de Excel,1.12603,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:16:26,34eec9c9,AUD/USD OTC,S300,SELL,,Importado de Excel,0.65779,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 01:16:28,6d6c2aae,USD/MXN OTC,S300,SELL,,Importado de Excel,17.9089,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:22:07,72e094ba,EUR/USD OTC,S300,SELL,,Importado de Excel,1.1271,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:22:09,f096ff69,USD/MXN OTC,S300,SELL,,Importado de Excel,17.9215,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 01:42:15,37ca984a,AUD/USD OTC,S600,SELL,,Importado de Excel,0.65615,,,-1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 01:52:39,c34e71ff,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35351,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 02:03:09,a20cdfd7,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35191,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-17 02:15:10,ab0c50a5,EUR/USD OTC,S600,BUY,,Importado de Excel,1.12698,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 02:36:03,7fc95431,AUD/USD OTC,S600,BUY,,Importado de Excel,0.65587,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 02:46:27,95091a2f,AUD/USD OTC,S600,BUY,,Importado de Excel,0.65677,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 02:56:51,f4a305d3,AUD/USD OTC,S300,BUY,,Importado de Excel,0.65702,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-17 03:02:14,70371f79,EUR/USD OTC,S600,SELL,,Importado de Excel,1.12734,,,-1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 03:12:38,05f49823,AUD/USD OTC,S600,BUY,,Importado de Excel,0.65647,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 03:23:01,c2da37ea,USD/JPY OTC,S600,BUY,,Importado de Excel,152.534,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 03:33:25,8114cf75,USD/JPY OTC,S600,BUY,,Importado de Excel,152.34,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 03:43:49,7f259491,USD/JPY OTC,S600,BUY,,Importado de Excel,152.506,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 03:55:07,1a3cb7b6,USD/MXN OTC,S600,BUY,,Importado de Excel,17.9642,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 04:05:37,59e2119d,USD/MXN OTC,S600,BUY,,Importado de Excel,17.9578,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 04:16:07,fd45fb54,USD/COP OTC,S600,BUY,,Importado de Excel,3736.67,,,1,,,,,,,,,,WIN,0.6,36000,Importado de cuenta_real.xlsx
2025-11-17 04:26:37,25e69e02,EUR/USD OTC,S600,BUY,,Importado de Excel,1.12543,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 04:37:07,4fae0a5d,AUD/CAD OTC,S600,BUY,,Importado de Excel,0.84412,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-17 04:47:38,cb706966,USD/JPY OTC,S600,SELL,,Importado de Excel,152.526,,,-1,,,,,,,,,,WIN,0.88,36000,Importado de cuenta_real.xlsx
2025-11-17 04:58:08,67a420f7,USD/JPY OTC,S600,SELL,,Importado de Excel,152.454,,,-1,,,,,,,,,,WIN,0.8,36000,Importado de cuenta_real.xlsx
2025-11-17 05:08:39,51780d20,USD/ARS OTC,S600,SELL,,Importado de Excel,1206.57,,,-1,,,,,,,,,,WIN,0.73,36000,Importado de cuenta_real.xlsx
2025-11-17 05:19:09,2bb7be88,USD/ARS OTC,S600,SELL,,Importado de Excel,1206.59,,,-1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 05:29:39,3a1ced5a,USD/ARS OTC,S600,SELL,,Importado de Excel,1207.5,,,-1,,,,,,,,,,WIN,0.37,36000,Importado de cuenta_real.xlsx
2025-11-17 05:40:09,5c2c4058,AUD/USD OTC,S600,BUY,,Importado de Excel,0.65716,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-17 05:50:39,579cca3f,AUD/CAD OTC,S600,SELL,,Importado de Excel,0.83863,,,-1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
