timestamp,trade_id,pair,timeframe,decision,signal_score,pattern_detected,price,ema,rsi,ema_conf,tf_signal,atr,triangle_active,reversal_candle,near_support,near_resistance,support_level,resistance_level,htf_signal,result,profit_loss,expiry_time,notes
2025-11-18 00:05:54,e4ccdc17,GBP/USD OTC,S300,SELL,,Importado de Excel,1.36269,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 01:39:55,325acb52,GBP/USD OTC,S600,SELL,,Importado de Excel,1.35506,,,-1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 01:50:43,d90e95b1,USD/MXN OTC,S600,BUY,,Importado de Excel,18.2082,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 02:01:31,6e94f58e,AUD/USD OTC,S600,SELL,,Importado de Excel,0.65799,,,-1,,,,,,,,,,WIN,0.91,36000,Importado de cuenta_real.xlsx
2025-11-18 02:12:19,871843ff,EUR/USD OTC,S600,BUY,,Importado de Excel,1.14161,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 02:23:06,61da243f,EUR/USD OTC,S600,BUY,,Importado de Excel,1.14131,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 02:33:54,978382f5,EUR/USD OTC,S300,BUY,,Importado de Excel,1.14044,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 02:39:42,686c7f3d,EUR/USD OTC,S300,BUY,,Importado de Excel,1.14026,,,1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 02:45:30,005c156c,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35216,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 02:51:18,8d517ca6,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35433,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 02:57:06,323c9d8d,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35499,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 03:02:53,f0de8b15,EUR/USD OTC,S1800,BUY,,Importado de Excel,1.13994,,,1,,,,,,,,,,LOSS,-1.0,108000,Importado de cuenta_real.xlsx
2025-11-18 03:33:41,a99effdc,GBP/USD OTC,S600,SELL,,Importado de Excel,1.35343,,,-1,,,,,,,,,,WIN,0.45,36000,Importado de cuenta_real.xlsx
2025-11-18 03:44:30,4fc28a17,USD/JPY OTC,S900,BUY,,Importado de Excel,155.55,,,1,,,,,,,,,,LOSS,-1.0,54000,Importado de cuenta_real.xlsx
2025-11-18 04:00:18,9bb5e502,EUR/USD OTC,S300,BUY,,Importado de Excel,1.136,,,1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 04:06:06,38310280,EUR/USD OTC,S900,BUY,,Importado de Excel,1.13431,,,1,,,,,,,,,,WIN,0.92,54000,Importado de cuenta_real.xlsx
2025-11-18 04:21:54,f4a8a630,GBP/USD OTC,S600,SELL,,Importado de Excel,1.35183,,,-1,,,,,,,,,,WIN,0.5,36000,Importado de cuenta_real.xlsx
2025-11-18 04:32:42,da8f440b,GBP/USD OTC,S600,SELL,,Importado de Excel,1.34949,,,-1,,,,,,,,,,WIN,0.6,36000,Importado de cuenta_real.xlsx
2025-11-18 04:43:31,c0b69eb0,GBP/USD OTC,S600,SELL,,Importado de Excel,1.34924,,,-1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 04:54:19,202561da,AUD/CAD OTC,S600,BUY,,Importado de Excel,0.89286,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-18 05:05:07,555e79f6,GBP/USD OTC,S900,SELL,,Importado de Excel,1.3485,,,-1,,,,,,,,,,WIN,0.36,54000,Importado de cuenta_real.xlsx
2025-11-18 05:20:56,069a091d,AUD/CAD OTC,S600,BUY,,Importado de Excel,0.90037,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 05:31:43,b2b14481,USD/COP OTC,S300,BUY,,Importado de Excel,3860.32,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 05:37:31,8e7146e0,GBP/USD OTC,S900,SELL,,Importado de Excel,1.34917,,,-1,,,,,,,,,,LOSS,-1.0,54000,Importado de cuenta_real.xlsx
2025-11-18 05:53:21,e4d52bc8,EUR/USD OTC,S300,SELL,,Importado de Excel,1.13626,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 05:59:09,d0145311,GBP/USD OTC,S300,SELL,,Importado de Excel,1.35127,,,-1,,,,,,,,,,WIN,0.65,18000,Importado de cuenta_real.xlsx
2025-11-18 06:04:58,4b2c5355,EUR/USD OTC,S300,SELL,,Importado de Excel,1.13498,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 06:10:46,3c5ac95d,AUD/CAD OTC,S600,BUY,,Importado de Excel,0.90187,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-18 06:21:34,b75cad02,EUR/USD OTC,S300,SELL,,Importado de Excel,1.13628,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 06:27:22,c3c26848,EUR/USD OTC,S300,SELL,,Importado de Excel,1.13569,,,-1,,,,,,,,,,LOSS,-1.0,18000,Importado de cuenta_real.xlsx
2025-11-18 06:33:10,8d181400,AUD/CAD OTC,S900,BUY,,Importado de Excel,0.9005,,,1,,,,,,,,,,WIN,0.92,54000,Importado de cuenta_real.xlsx
2025-11-18 06:48:59,e564e201,GBP/USD OTC,S600,SELL,,Importado de Excel,1.35014,,,-1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-18 06:59:47,6d207142,USD/CAD OTC,S300,SELL,,Importado de Excel,1.43833,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-18 07:05:35,d9e2caca,USD/JPY OTC,S1800,BUY,,Importado de Excel,155.695,,,1,,,,,,,,,,WIN,0.92,108000,Importado de cuenta_real.xlsx
