timestamp,trade_id,pair,timeframe,decision,signal_score,pattern_detected,price,ema,rsi,ema_conf,tf_signal,atr,triangle_active,reversal_candle,near_support,near_resistance,support_level,resistance_level,htf_signal,result,profit_loss,expiry_time,notes
2025-11-20 00:03:11,9b9f8c10,AUD/CAD OTC,S300,SELL,,Importado de Excel,0.88599,,,-1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-20 00:08:59,46ff2324,AUD/CAD OTC,S600,SELL,,Importado de Excel,0.88558,,,-1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-20 00:19:48,7f6440bf,USD/JPY OTC,S300,BUY,,Importado de Excel,156.999,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-20 00:25:36,d34fdef5,AUD/CAD OTC,S600,SELL,,Importado de Excel,0.88498,,,-1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-20 00:36:24,8cf73307,USD/JPY OTC,S600,BUY,,Importado de Excel,156.965,,,1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-20 00:50:42,3422da37,USD/JPY OTC,S300,BUY,,Importado de Excel,156.93,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-20 00:56:30,33da033d,AUD/CAD OTC,S600,SELL,,Importado de Excel,0.88874,,,-1,,,,,,,,,,WIN,0.92,36000,Importado de cuenta_real.xlsx
2025-11-20 01:07:18,56d09c1d,USD/JPY OTC,S300,BUY,,Importado de Excel,156.802,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-20 01:13:06,79ca7824,USD/JPY OTC,S600,BUY,,Importado de Excel,156.815,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-20 01:23:54,304589f2,USD/JPY OTC,S900,BUY,,Importado de Excel,156.748,,,1,,,,,,,,,,WIN,0.92,54000,Importado de cuenta_real.xlsx
2025-11-20 01:50:31,e3db5bd2,EUR/USD OTC,S600,BUY,,Importado de Excel,1.15421,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
2025-11-20 02:01:19,7e2e0e33,EUR/USD OTC,S300,BUY,,Importado de Excel,1.15409,,,1,,,,,,,,,,WIN,0.92,18000,Importado de cuenta_real.xlsx
2025-11-20 02:07:07,b3de2e00,EUR/USD OTC,S600,BUY,,Importado de Excel,1.15402,,,1,,,,,,,,,,LOSS,-1.0,36000,Importado de cuenta_real.xlsx
