timestamp,trade_id,pair,timeframe,decision,signal_score,pattern_detected,price,ema,rsi,ema_conf,tf_signal,atr,triangle_active,reversal_candle,near_support,near_resistance,support_level,resistance_level,htf_signal,result,profit_loss,expiry_time,notes
2025-11-26 00:03:41,c9f9e903-6b1e-49c1-a29c-28d9893a271f,USDARS_otc,M5,SELL,4,doble_techo,1425.61,1428.2102753869483,,0,0,0,0,0,False,False,,,0,WIN,0.0,300,
2025-11-26 00:09:16,ea8b8d5a-0a21-4d62-a0b7-a73e45972a00,EURUSD_otc,M5,BUY,4,,1.14098,1.139181740793916,62.41378190375494,1,1,0,0,1,False,True,,,0,WIN,0.0,300,
2025-11-26 00:14:53,efb01359-f830-4530-97d0-5fcc4f9fb6bd,AUDUSD_otc,M5,BUY,4,,0.6513,0.6467200457294247,73.51505860415625,1,1,0,0,0,False,True,,,0,LOSS,,300,
2025-11-26 00:20:30,f1317dcf-c014-4806-8aff-c81203c41fd5,GBPUSD_otc,M5,BUY,4,,1.31646,1.3095172072936558,78.30100529205896,1,1,0,0,0,False,True,,,0,LOSS,,300,
2025-11-26 00:26:06,4574631f-991e-45eb-a0bc-554e1f3e45e5,GBPUSD_otc,M5,BUY,5,,1.31658,1.309780649637652,78.72217085929718,1,1,0,0,1,False,True,,,0,LOSS,,300,
2025-11-26 00:31:38,eeb5d46d-942e-4964-a8f5-7c1254e88fc1,EURUSD_otc,M5,BUY,4,,1.14125,1.1395636728438818,61.425736292982585,1,1,0,0,1,False,True,,,0,WIN,0.0,300,
2025-11-26 00:37:22,f8e43796-8a43-400e-a9ab-6928df3becc9,AUDUSD_otc,M5,BUY,4,,0.65227,0.6475097404075901,75.55503168038703,1,1,0,0,0,False,True,,,0,LOSS,,300,
2025-11-26 00:42:53,54df4082-59a8-4953-96e7-54a3eb41f953,AUDUSD_otc,M5,BUY,5,,0.65228,0.6476900444517152,73.36528222941348,1,1,0,0,1,False,True,,,0,WIN,0.0,300,
2025-11-26 00:49:03,16184430-7f7a-481a-b8c2-d0c2d9956eff,EURUSD_otc,M5,BUY,4,,1.14138,1.139732893341486,56.995185114595735,1,1,0,0,0,False,True,,,0,WIN,0.0,300,
2025-11-26 00:54:39,f6ac6aef-929d-43c8-8917-58250c8dc7dc,USDJPY_otc,M5,BUY,5,,159.499,159.39756680940434,59.85856497643418,1,1,0,0,1,False,True,,,0,WIN,0.0,300,
2025-11-26 01:00:14,ac6d7165-1efb-456b-98a4-6c52728518d7,AUDCAD_otc,M5,SELL,4,,0.86502,0.8719838603749837,33.120756624682684,-1,-1,0,0,1,False,False,,,0,WIN,0.0,300,
2025-11-26 01:05:44,b09c8a11-661f-4f1f-9a7e-a7fdb46bebd6,EURUSD_otc,M5,BUY,4,,1.14276,1.1401982028669064,67.97319222644285,1,1,0,0,1,False,True,,,0,WIN,0.0,300,
2025-11-26 01:12:41,8b1ff615-92bb-47e9-8858-bb422a741a3d,AUDUSD_otc,M5,BUY,4,,0.65111,0.6484313062829065,65.19032474706503,1,1,0,0,1,False,False,,,0,LOSS,,300,
2025-11-26 01:18:12,ca647309-c42d-4006-9f5b-aa09c9dc4add,USDJPY_otc,M5,BUY,4,,159.635,159.42937063722704,67.47472279847642,1,1,0,0,1,False,True,,,0,LOSS,,300,
2025-11-26 01:26:09,cea13762-4490-4a0a-a72c-6737d2f1b870,GBPUSD_otc,M5,BUY,4,,1.31849,1.3118905497872422,72.5834701412217,1,1,0,0,0,False,True,,,0,WIN,0.0,300,
2025-11-26 01:31:44,141976e0-b8c8-4d81-8b41-4c0c9628e681,USDJPY_otc,M5,BUY,4,,159.679,159.45734526359038,62.69332164789357,1,1,0,0,1,False,True,,,0,LOSS,,300,
2025-11-26 01:38:42,3af1daca-72ef-4c26-a4fd-270439d5a5aa,AUDUSD_otc,M10,BUY,4,,0.65307,0.6468012711586325,73.59624134202028,1,1,0,0,0,False,True,,,0,LOSS,,600,
2025-11-26 01:49:24,7b2ab01f-4886-40da-8b77-def73db84c0b,AUDUSD_otc,M15,BUY,5,,0.65281,0.6456154791517459,70.65293538047659,1,1,0,0,1,False,True,,,0,LOSS,,900,
2025-11-26 02:05:37,b97da3b0-99fd-4ed1-9c2d-52e9c636f46b,USDCOP_otc,M5,SELL,4,doble_techo,3747.16,3751.664530996373,,0,0,0,0,0,False,False,,,0,LOSS,,300,
2025-11-26 02:11:09,aca09b96-931e-467b-8a77-1d7d4fcb6003,AUDUSD_otc,M5,BUY,5,,0.65344,0.650400717624826,70.84756581200323,1,1,0,0,1,False,True,,,0,LOSS,,300,
